Rk,Team,Year,Playoff Wins,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,O_MP,O_FG,O_FGA,O_FG%,O_3P,O_3PA,O_3P%,O_2P,O_2PA,O_2P%,O_FT,O_FTA,O_FT%,O_ORB,O_DRB,O_TRB,O_AST,O_STL,O_BLK,O_TOV,O_PF,O_PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
8,Washington Wizards,2005,4,19,12,5,24,10,8,25,18,14,22,2,1,24,1,23,9,28,3,20,15,9,6,19,25,23,24,28,27,22,22,17,24,8,9,20,21,23,23,27,8,18,3,3,23,11,18,16,16,16,25,17,10,19,5,2,9,22,7,5,8,25,7,25,8,,14
9,Boston Celtics,2005,3,8,5,19,3,17,17,19,11,18,3,3,4,14,23,16,24,9,8,13,26,27,5,8,17,18,13,25,26,13,14,14,12,28,29,14,25,13,20,25,29,16,8,7,22,11,18,13,13,13,27,14,9,14,6,6,16,3,25,23,5,14,11,24,27,,24
10,Houston Rockets,2005,3,11,25,24,20,6,7,7,26,26,15,21,26,7,27,3,13,16,23,16,12,9,20,11,4,9,2,14,22,4,4,7,4,12,12,2,3,16,8,8,12,3,25,23,3,7,24,5,5,5,11,5,15,4,24,22,7,11,16,27,19,3,24,1,15,,23
11,Chicago Bulls,2005,2,16,24,16,26,11,11,13,22,21,27,22,21,21,13,4,2,15,20,18,30,29,21,16,6,14,1,4,10,2,5,16,2,24,26,7,17,24,22,12,26,24,9,11,7,10,21,12,12,12,26,12,27,2,11,21,10,24,30,18,22,2,8,7,22,,2
12,Denver Nuggets,2005,1,24,7,14,4,24,24,26,1,6,7,6,6,15,19,12,16,2,2,4,22,17,8,24,16,15,15,15,21,9,15,11,17,18,20,9,16,15,15,20,22,27,2,4,17,9,22,10,10,10,12,10,16,8,4,7,24,15,18,19,6,15,4,11,16,,12
13,Philadelphia 76ers,2005,1,11,16,6,22,13,10,20,19,15,25,8,11,5,23,7,15,21,1,24,23,17,10,11,12,16,11,30,30,18,7,5,13,27,24,24,12,28,26,26,25,10,1,9,19,16,15,17,17,17,24,18,24,10,2,14,12,20,22,29,12,18,1,6,24,,10
14,Sacramento Kings,2005,1,11,2,3,7,9,12,4,5,8,5,18,24,6,11,13,11,1,7,26,1,3,2,11,29,29,23,21,19,15,29,29,23,5,7,1,28,25,27,18,17,7,14,25,26,8,23,9,9,9,6,9,3,23,8,27,14,4,1,15,23,21,20,28,5,,13
15,Memphis Grizzlies,2005,0,29,27,29,16,8,9,12,27,28,9,24,23,19,25,28,30,20,5,5,19,22,23,29,1,3,6,6,5,11,3,4,6,21,19,26,20,8,11,6,16,29,4,17,4,11,18,7,7,7,7,7,19,5,25,16,7,9,23,24,17,6,2,26,26,,19
16,New Jersey Nets,2005,0,5,28,24,29,18,19,11,23,20,28,20,22,16,29,22,29,13,10,28,14,26,29,5,2,2,9,22,20,26,1,2,9,23,25,6,2,22,10,7,10,16,6,15,6,17,13,20,20,19,23,21,26,7,21,18,19,28,17,28,18,11,3,4,28,,26
1,Miami Heat,2006,16,28,4,19,2,12,12,20,7,26,1,18,8,29,21,2,1,17,29,8,16,15,6,28,11,22,8,17,18,18,7,15,7,18,19,10,3,7,5,9,9,3,28,5,14,5,26,6,6,5,28,6,7,9,12,6,10,2,19,17,15,10,29,1,17,,4
2,Dallas Mavericks,2006,14,9,17,18,7,21,21,9,9,11,12,3,5,6,5,16,6,29,13,4,5,11,9,9,7,6,10,4,4,19,8,18,8,17,15,23,17,1,2,2,4,17,20,4,7,3,28,3,3,3,21,3,1,11,27,5,21,10,8,2,3,8,16,17,19,,3
3,Detroit Pistons,2006,10,17,11,11,12,7,10,3,23,16,16,27,26,23,9,24,19,2,16,3,1,1,19,17,14,14,13,2,2,1,23,28,13,1,1,8,19,9,15,5,1,2,21,26,3,1,30,2,2,2,30,2,4,5,29,28,12,7,1,7,26,11,14,25,1,,1
4,Phoenix Suns,2006,10,1,1,1,1,1,1,1,5,19,2,30,30,1,30,3,10,1,22,12,3,3,1,1,30,30,17,25,24,20,30,30,14,4,5,1,29,30,30,6,16,1,8,30,28,4,27,4,4,4,20,4,2,16,1,30,1,1,2,30,30,17,23,19,2,,12
5,Cleveland Cavaliers,2006,7,17,21,17,16,12,9,24,24,25,6,9,6,22,11,9,4,24,18,16,9,6,15,17,17,19,18,10,11,14,17,16,17,5,6,13,2,15,6,15,8,9,27,19,10,6,25,8,8,8,19,8,9,14,19,7,9,13,10,10,7,18,27,4,5,,5
6,Los Angeles Clippers,2006,7,24,8,15,6,30,29,21,2,1,11,8,19,3,26,1,2,14,24,1,15,16,17,24,13,25,4,15,20,5,12,22,5,14,16,4,6,16,8,22,10,8,30,24,11,9,22,11,11,11,5,9,18,8,10,17,29,18,17,25,9,5,30,3,11,,13
7,San Antonio Spurs,2006,7,24,8,20,4,10,16,2,16,23,3,29,29,28,23,7,12,10,23,6,7,5,21,24,6,11,3,1,1,3,15,29,3,3,3,11,12,14,10,1,21,6,23,28,2,2,29,1,1,1,23,1,10,1,23,27,15,3,13,20,29,1,19,8,4,,8
8,New Jersey Nets,2006,5,27,27,23,27,16,11,28,27,27,19,12,13,9,27,8,17,4,20,27,6,20,24,27,3,3,7,13,16,6,3,5,10,19,20,12,1,27,21,11,15,4,15,14,6,7,23,13,13,13,26,13,25,4,18,11,8,25,12,29,10,9,9,2,25,,19
9,Los Angeles Lakers,2006,3,13,10,9,19,8,5,19,20,21,9,17,17,15,10,10,7,9,5,20,10,18,7,13,16,23,12,15,17,12,14,19,12,13,13,19,13,9,9,17,4,7,18,8,15,10,21,7,7,7,15,7,8,15,15,18,7,11,9,8,19,12,21,9,13,,7
10,Chicago Bulls,2006,2,5,6,4,22,6,8,5,19,13,25,25,25,17,14,4,3,6,30,21,24,28,13,5,5,21,1,22,25,8,4,10,1,30,29,30,10,26,22,14,23,23,6,16,16,14,15,14,14,14,22,14,23,7,5,29,13,16,20,19,27,3,11,5,29,,2
11,Indiana Pacers,2006,2,29,26,24,24,9,7,18,28,29,17,20,18,19,16,6,8,19,11,13,26,9,23,29,8,20,5,3,3,4,13,27,4,8,9,5,23,13,19,4,27,15,24,23,5,14,15,9,9,9,27,10,21,3,20,12,4,19,27,12,16,2,25,15,8,,24
12,Sacramento Kings,2006,2,17,15,13,14,15,14,16,18,17,10,7,16,5,22,13,18,5,8,26,20,2,10,17,23,28,15,12,14,9,24,26,16,2,2,20,20,23,25,18,26,18,11,15,17,11,19,12,12,12,12,11,11,12,9,16,14,12,18,26,11,13,15,18,3,,14
13,Washington Wizards,2006,2,17,13,7,21,12,15,15,14,11,22,1,2,12,3,25,15,25,3,22,10,12,3,17,20,18,23,22,21,21,19,11,23,20,18,16,21,20,24,23,6,5,2,3,21,13,18,10,10,10,29,12,6,22,7,3,16,21,4,6,4,24,2,26,18,,15
14,Denver Nuggets,2006,1,3,2,6,8,24,22,30,1,2,5,6,7,16,15,11,14,3,2,7,23,13,5,3,25,29,15,26,28,17,21,24,18,11,11,6,22,18,23,29,14,26,3,10,23,11,19,15,15,15,9,15,17,13,2,10,23,15,14,16,12,20,4,20,6,,16
15,Milwaukee Bucks,2006,1,13,12,10,18,11,17,4,16,14,21,22,20,18,12,14,16,8,12,30,19,19,13,13,19,9,24,17,22,13,15,7,26,21,21,21,4,19,11,25,22,22,14,6,19,17,14,16,16,16,16,16,14,23,13,20,18,14,16,11,22,23,12,6,21,,20
16,Memphis Grizzlies,2006,0,13,28,30,20,5,6,8,30,30,18,24,23,27,25,21,28,22,10,8,8,7,27,13,1,2,6,5,6,2,5,6,9,6,4,25,16,11,14,10,18,29,9,17,1,7,23,5,5,6,14,5,16,2,30,14,3,8,21,21,20,4,3,21,10,,26
1,San Antonio Spurs,2007,16,22,12,27,3,6,7,3,25,27,3,24,24,17,28,4,16,11,15,10,4,1,14,22,8,13,4,1,2,2,14,28,3,1,1,6,4,8,6,1,12,8,24,24,1,3,28,1,1,1,16,1,5,2,27,20,6,2,10,27,20,2,20,3,1,,9
2,Cleveland Cavaliers,2007,12,8,15,9,24,15,14,18,20,10,25,25,15,29,1,6,2,15,8,20,7,11,19,8,7,6,8,3,6,1,9,12,10,11,11,3,2,14,8,9,5,10,10,16,5,7,24,7,7,7,30,7,18,4,18,17,18,22,4,3,24,7,5,2,14,,3
3,Detroit Pistons,2007,10,8,18,17,20,23,19,26,18,13,18,19,22,7,10,24,18,13,17,1,1,5,21,8,5,6,6,4,4,4,7,16,6,7,9,5,25,9,16,8,3,1,20,28,2,4,27,6,6,6,28,6,6,7,30,22,19,21,1,11,18,5,16,25,10,,2
4,Utah Jazz,2007,9,20,7,18,2,26,26,29,1,4,6,4,2,20,3,16,7,2,20,22,20,30,7,20,5,1,11,16,15,15,3,1,13,30,30,27,3,2,1,4,24,28,18,1,17,6,25,8,8,8,10,8,3,18,15,2,26,11,17,1,3,13,14,4,30,,6
5,Chicago Bulls,2007,6,22,9,8,16,18,23,2,7,2,24,20,18,23,8,2,1,9,4,6,24,22,13,22,3,9,2,13,13,6,2,7,2,18,21,1,14,13,13,11,21,25,2,9,6,8,23,4,4,4,29,5,21,1,6,21,24,17,23,9,22,3,1,10,19,,1
6,New Jersey Nets,2007,6,8,22,24,17,4,5,8,29,29,13,16,12,25,24,8,14,3,30,27,12,19,15,8,10,14,9,18,18,16,6,5,9,23,22,26,12,24,18,21,15,13,22,10,13,14,16,16,16,16,21,16,16,15,16,10,4,7,14,26,15,10,22,9,23,,19
7,Phoenix Suns,2007,6,7,1,2,1,1,2,1,5,26,1,26,30,1,30,3,19,1,26,14,9,3,1,7,28,29,14,15,13,22,30,30,11,6,3,28,28,22,26,3,9,2,14,21,23,2,29,3,3,2,14,3,1,13,3,30,2,1,5,29,27,12,24,20,3,,10
8,Golden State Warriors,2007,5,27,2,1,12,3,1,14,9,21,4,21,17,26,12,16,10,4,1,3,23,26,2,27,26,28,19,30,30,24,22,24,21,29,29,14,30,30,30,28,28,18,1,13,30,12,18,13,13,13,8,13,11,19,1,24,3,3,13,23,29,24,2,29,21,,14
